[00:03:31]: [DangTienScan] === scan begin ===	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_HTZ_NOLQ = 灵力不足	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_RESEARCH_STATION = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_HORTICULTURE_UPGRADED = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_HORTICULTURE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_SLEEP = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_FIRE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_MOON = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_FISH = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_BEES = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_GARDENING = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_LIGHT = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_TEMPERATURE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_BRIMSTONE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_READ_BOOK.BOOK_SILVICULTURE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_HUNGRY_FASTBUILD.1 = only_used_by_winona	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_CANTBUILDHERE_HOUSE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_SOUL_FEW.1 = only_used_by_wortox	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ATTACH_BUFF_ATTACK = 动手打！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_POCKETWATCH_RECALL = only_used_by_wanda	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_OCEANFISHING_LINETOOLOOSE = 收线也许管用。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_EXITGYM.MIGHTY = only_used_by_wolfang	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_EXITGYM.NORMAL = only_used_by_wolfang	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_EXITGYM.WIMPY = only_used_by_wolfang	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_TOADESCAPED = 癞蛤蟆逃走了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENCUMBERED.1 = 气喘...吁吁...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENCUMBERED.2 = 太费力了...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENCUMBERED.3 = 抬起来...用你的背...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENCUMBERED.4 = 这不是...太子该做的...事情...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENCUMBERED.5 = 为了...什么！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENCUMBERED.6 = 这东西...正把本太子头发弄得一团糟吗？	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENCUMBERED.7 = 哼...！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENCUMBERED.8 = 气喘...吁吁...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENCUMBERED.9 = 这是最糟糕的...事情...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_CARRAT_ERROR_WRONG_WAY.1 = 不，不！方向错了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_CARRAT_ERROR_WRONG_WAY.2 = 掉头，你什么眼神啊！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_DETACH_BUFF_MOISTUREIMMUNITY = 本太子可是这天下水泽之主。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_STORYTELLING_ABORT_NOT_NIGHT.1 = only_used_by_walter	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_DETACH_BUFF_ELECTRICATTACK = 电没了，但是还残存一些。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_WINCH_CLAW_NO_ITEM = 得！两手空空。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ATTACH_BUFF_ELECTRICATTACK = 本太子带的是雷电！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ROYALTY.1 = 朋友。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ROYALTY.2 = 伙伴。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ROYALTY.3 = 本太子的朋友！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_SOUL_OVERLOAD.1 = only_used_by_wortox	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_KINGDESTROYED = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_BLOOMING.1 = only_used_by_wormwood	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_GROWPLANT.1 = only_used_by_wormwood	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_CANTBUILDHERE_WATCHTOWER = only_used_by_wurt	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_REVIVED_OTHER_CORPSE = 焕然一新！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_NOMOUNTEDGIFT = 本太子得先从坐骑身上下来。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_HUNT_SUCCESSFUL_FORK = 没有野兽能与本太子匹敌！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.DESCRIBE_PLANTSTRESSORNUTRIENTS = 这颗可怜的植物需要肥料!	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_WINTERS_FEAST_BUFF = 满满的节日精神！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_TOWNPORTALTELEPORT = 本太子不确定。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_CHARLIE_MISSED = only_used_by_winona	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_WORMHOLE = 头脑正常的龙可不会干那事。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_ENTER_LIGHT = 本太子又可以看到东西了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_BURNT = 呀！好烫！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_SHELTER = 大树，多谢你保护本太子免受自然侵害！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_RESEARCH = 本太子还要勤加修炼才是！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_CAVEIN = 天要塌了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_DIG_DISEASE_WARNING = 它看起来已经好多了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_NODANGERGIFT = 怪物在四周，本太子无法拆礼物！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_SCRAPBOOK_FULL = 这些本太子都有了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_BOAT_LEAK = 水越来越多了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_TOADESCAPING = 癞蛤蟆正在失去兴趣。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_SNARED_IVY = 花园正在反击!	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_DEERCLOPS = 听上去是个大家伙！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LONGTAIZI.ANNOUNCE_WIMPYTONORMAL = only_used_by_wolfang	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.DESCRIBE_PLANTHAPPY = 此灵植生机盎然，道韵流转。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_CRAFTING_FAIL = 定是哪个孽徒偷了本座材料！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_BEES = 放肆！区区毒蜂也敢蜇本座金身！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_CHAIR_ON_FIRE = 区区凡火...何足挂齿...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_BOOMERANG = 哼！此等凡铁也配伤及本座！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_NODANGERSLEEP = 杀气四溢...何人敢扰本座清修？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ACTIONFAIL_GENERIC = 放肆！天地万物也敢违逆本座法旨？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_ACCOMPLISHMENT_DONE = 可惜那群蝼蚁无缘得见本座神通...	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_CANTBUILDHERE_THRONE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_GHOST_HINT = only_used_by_wendy	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_ANTLION_SINKHOLE.1 = 何方妖物，竟敢撼动本座道场？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_ANTLION_SINKHOLE.2 = 地脉紊乱...定是那地底孽畜作祟！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_ANTLION_SINKHOLE.3 = 待本座收了这厮，炼作守山灵兽！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_EQUIP_SHADOWLEVEL_T1 = only_used_by_waxwell	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_TOOMANYBIRDS = only_used_by_waxwell_and_wicker	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_LIGHTNING_DAMAGE_AVOIDED = 区区天雷也敢劈本座？	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.DESCRIBE_GENERIC = 此乃何物...待本宫细细观之。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_KITCOON_FOUND_IN_THE_WILD = 本座早察觉此处妖气！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_CARRAT_ERROR_FELL_ASLEEP = 孽畜！比赛途中也敢瞌睡？！看本座抽你魂魄！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_TORCH_OUT = 哼！凡火终究难堪大用！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_KITCOON_HIDANDSEEK_FOUND_LAST_ONE = 哈哈哈哈！终究逃不过本座法眼！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_STORYTELLING_ABORT_FIREWENTOUT.1 = only_used_by_walter	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_BATTLESONG_INSTANT_TAUNT_BUFF = only_used_by_wathgrithr	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_KLAUS_CALLFORHELP = 哼！叫再多喽啰也是送死！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_OCEANFISHING_BADCAST = 哼！定是风向作祟！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_RUINS_RESET = 哼！那些阴魂不散的蝼蚁又爬出来了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_DETACH_BUFF_PLAYERABSORPTION = 区区小伤...何足挂齿...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_NONIGHTSIESTA = 夜半三更正该修炼，睡什么午觉！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_HUNT_WRONG_FORK = 有宵小在暗中窥视本座？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_DESPAWN = 元神出窍...去也！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_NOHUNGERSLEEP = 待本座先取几个生魂果腹...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_OFF_SCRIPT = 荒谬！此等变数也配入本座法眼？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_PLANT_RESEARCHED.1 = 哼！此等草木之道不过尔尔！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_REVIVED_FROM_CORPSE = 哼！区区死亡也配困住本座？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_REVIVING_CORPSE = 待本座为你重聚三魂七魄！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_EQUIP_SHADOWLEVEL_T4 = only_used_by_waxwell	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_OCEAN_SILHOUETTE_INCOMING = 海中有大妖出世？！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_FOODMEMORY = only_used_by_warly	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_POCKETWATCH_MARK = only_used_by_wanda	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_WET = 本座法体岂容凡水沾染？！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_WANDA_YOUNGTONORMAL = only_used_by_wanda	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOUNT_LOWHEALTH = 废物坐骑！连这点伤都承受不住？！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_NORMALTOMIGHTY = only_used_by_wolfang	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_LUNAR_RIFT_MAX = 月华裂隙...莫非有异宝出世？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_FLARE_SEEN = 嗯？何方道友在此发信号？	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_NODAYSLEEP_CAVE = 地脉灵气正盛，岂可虚度！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_NODAYSLEEP = 青天白日也敢扰本座入定？！。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_REPELLED = 可笑！此等微末道行也配护主？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_COMPASS_OUT = 天机紊乱...罗盘失灵？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_TICOON_LOST_KITCOON = 废物！连只小妖都跟丢！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_OCEANFISHING_IDLE_QUOTE.1 = 哼！海中鱼精也敢避让本座？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_OCEANFISHING_IDLE_QUOTE.2 = 待本座施展分水诀，直捣龙宫取鱼！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_OCEANFISHING_IDLE_QUOTE.3 = 可笑！偌大海域竟无一条开眼灵鱼？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_OCEANFISHING_IDLE_QUOTE.4 = 与其在此虚度，不如去取几颗内丹...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_HOUNDS = 何方妖犬，敢来送死？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_INV_FULL = 芥子袋已满...看来得扔掉些凡物了。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_KILLEDPLANT.1 = only_used_by_wormwood	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_HUNGRY_SLOWBUILD.1 = only_used_by_winona	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_ENTER_DARK = 九幽阴气...正合本座修炼！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_FIRENETTLE_TOXIN_DONE = 此等火毒...本座记下了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_DETACH_BUFF_ATTACK = 哼！不过暂敛锋芒...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_BECOMEGHOST = 本座竟堕为孤魂？！待我重塑肉身...	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_CHARGE = only_used_by_wx78	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_ATTACH_BUFF_WORKEFFECTIVENESS = 仙力灌顶，事半功倍！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_WEIGHT = 重{weight}斤...勉强可入丹炉。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOONALTAR_MINE.IDOL_MED = 上古遗物...有点意思...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOONALTAR_MINE.IDOL_LOW = 封印将破...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOONALTAR_MINE.GLASS_MED = 月华凝晶...待本座取之！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOONALTAR_MINE.SEED_LOW = 仙种即将现世...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOONALTAR_MINE.GLASS_REVEAL = 哈哈哈哈！本座助你重见天日！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOONALTAR_MINE.SEED_REVEAL = 此物合该为本座所得！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOONALTAR_MINE.GLASS_LOW = 破封在即...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOONALTAR_MINE.SEED_MED = 灵种躁动...。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MOONALTAR_MINE.IDOL_REVEAL = 跪谢本座解救之恩吧！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.DESCRIBE_PLANTSTRESSORHAPPINESS = 此物似通灵性，需以道音点化。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_NO_TRAP = 哼！此等粗浅机关也配称陷阱？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_NOHUNGERSIESTA = 待本座先取些血食再来歇息...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_PETRIFED_TREES = 哼！树精也敢在本座面前哀嚎？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_HUNT_LOST_TRAIL_SPRING = 区区雨水也敢妨碍本座狩猎？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_KITCOON_HIDANDSEEK_FOUND_LAST_ONE_TEAM = {name}倒是有点用处...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_ATTACH_BUFF_SLEEPRESISTANCE = 元神清明，何须休眠？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_CARRAT_ERROR_STUNNED = 装死？！信不信本座让你真死一回！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_DETACH_BUFF_WORKEFFECTIVENESS = 凡尘琐事...不提也罢...	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_SOUL_EMPTY.1 = only_used_by_wortox	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_EYEOFTERROR_FLYAWAY = 孽障！待本座追到九幽也要灭了你！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_ARCHIVE_NO_POWER = 区区凡物也配消耗本座真元？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_WASHED_ASHORE = 哼！龙宫一日游罢了...	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_BOOK_MOON_DAYTIME = only_used_by_waxwell_and_wicker	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_TOOL_TOOWEAK = 此等凡铁也配让本座使用？！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_GHOSTLYBOND_LEVELUP.LEVEL3 = only_used_by_wendy	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_GHOSTLYBOND_LEVELUP.LEVEL2 = only_used_by_wendy	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_HUNT_START_FORK = 此路煞气冲天...有意思！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_WOLFGANG_WIMPY_COACHING = only_used_by_wolfgang	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_HUNT_LOST_TRAIL = 孽畜！竟懂得抹去踪迹？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_CARRAT_START_RACE = 尔等鼠辈，且看本座手段！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_EQUIP_SHADOWLEVEL_T2 = only_used_by_waxwell	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_SPOOKED = 何方妖孽！也敢惊扰本座？！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_MONKEY_CURSE_1 = 哼！区区猴妖诅咒也敢侵染本座法体？！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_SHIJI.ANNOUNCE_GHOST_QUEST = only_used_by_wendy	
